Sample_ID,Date,River,SPM_mg_L,POC_mg_L,DOC_mg_L,NO2_NO3_umol_L,PO4_umol_L,SiO2_umol_L,dTotHg_ng_L,pTotHg_ng_L
W1,2.05.2018,Adventelva,174.05,2.19,6.1,3.741780504,0.042293861,22.29992802,0.63,12.01
W2,3.05.2018,Adventelva,138.59,2.85,14.96,2.37743352,0.059082264,21.80242481,0.63,8.88
W3,4.05.2018,Adventelva,125.53,0.94,8.72,4.74058816,0.070705004,20.10418953,0.57,10.71
W4,5.05.2018,Adventelva,115.1,2.22,12.77,3.86243704,0.061019387,20.71154624,0.55,9.84
W5,9.05.2018,Adventelva,103.37,2.76,15.44,3.688234704,0.057790848,19.50149328,0.56,6.28
W6,13.05.2018,Adventelva,104.4,2.34,10.59,0.394811032,0.069736442,21.10518796,0.61,9.32
W7,15.05.2018,Adventelva,110.5,2.47,11.739,3.270577464,0.061665095,19.3075852,0.57,9.283
W8,17.05.2018,Adventelva,102.81,2.21,12.08,4.992610392,0.053916601,20.41128001,0.56,5.55
W9,2.06.2018,Adventelva,113.33,2.46,0.47,7.991889136,0.030671121,33.67192925,0.07,6.54
W10,2.06.2018,Degeerelva,985.14,20.57,6.8,7.1572886,0.018402672,33.65262167,0.94,43.29
W11,2.06.2018,Ebbaelva,211.04,1.32,11.68,7.367188136,0.007102786,10.40961798,0.58,5.7
W12,2.06.2018,Gipsdalselva,216.85,0.59,7.64,9.893122008,0.024214043,21.7916059,0.41,3.38
W13,2.06.2018,Sassenelva,272.11,4.01,9.65,6.922401024,0.009362763,20.68424931,0.58,10.39
W14,3.06.2018,Adventelva,149.19,1.57,0.5,8.3352962,0.027119728,36.44772752,0.02,8.1
W15,3.06.2018,Degeerelva,792.37,20.14,6.96,6.890987488,0.031316828,30.44157052,1.88,43.94
W16,3.06.2018,Ebbaelva,68.7,0.29,11.56,7.122305344,0.026796874,10.62999077,0.78,5.97
W17,3.06.2018,Gipsdalselva,166.71,1.78,6.62,5.112552984,0.026151166,19.56407648,0.02,3.6
W18,3.06.2018,Sassenelva,172.1,2.36,22.73,7.170139592,0.102344686,20.40245844,0.71,7.87
W19,4.06.2018,Adventelva,108.72,2.91,0.46,7.841960896,0.022276919,31.71404025,0.18,7.36
W20,4.06.2018,Degeerelva,877.44,22.89,13.61,6.933110184,0.022276919,32.86500535,0.78,79.06
W21,4.06.2018,Ebbaelva,162.82,1.79,11.93,6.719640928,0.014528426,10.22636237,0.67,4.45
W22,4.06.2018,Gipsdalselva,300.17,0.5,8.96,6.870997056,0.033253952,14.78411759,0.16,2.92
W23,4.06.2018,Sassenelva,256.72,3.55,10.98,6.265572544,0.08523343,18.67526178,0.97,11.63
W24,5.06.2018,Adventelva,136.36,2.56,0.55,6.773186728,0.032608244,36.19939202,0.02,9.53
W25,5.06.2018,Degeerelva,891.23,21.46,12.15,6.809597872,0.015174133,36.78377937,1.17,64.06
W26,5.06.2018,Ebbaelva,99.83,0.92,12.27,6.345534272,0.015174133,10.83804664,0.79,7.4
W27,5.06.2018,Gipsdalselva,173.61,0.67,13.9,2.478099624,0.030993974,19.65445595,0.31,2
W28,5.06.2018,Sassenelva,201.89,4.73,13.05,7.075898984,0.141087154,20.77945568,0.57,14.27
W29,9.06.2018,Adventelva,101.96,1.12,0.5,6.604695944,0.025505458,30.78278215,0.21,5.81
W30,9.06.2018,Degeerelva,957.88,21.86,12.52,6.694652888,0.033576806,28.438575,0.5,68.88
W31,9.06.2018,Ebbaelva,264.18,0.59,10.5,7.099459136,0.027442582,10.77729433,0.8,3.85
W32,9.06.2018,Gipsdalselva,216.94,1.3,5.14,17.07397076,0.00742564,16.35102799,0.35,3.2
W33,9.06.2018,Sassenelva,223.7,4.33,11.36,7.470710016,0.063925072,19.56757182,0.51,8.25
W34,13.06.2018,Adventelva,71.08,2.69,0.53,8.91359084,0.029379705,35.06274117,0.21,6.23
W35,13.06.2018,Degeerelva,792.02,20.4,14.82,5.807220496,0.009362763,36.02812043,1.62,91.76
W36,13.06.2018,Ebbaelva,137.15,0.91,12.66,6.848150848,0.029379705,10.40562331,0.69,4.13
W37,13.06.2018,Gipsdalselva,189.6,1.73,8.85,11.19250009,0.026796874,17.42209964,0.15,1.74
W38,13.06.2018,Sassenelva,181.09,3.23,18.17,6.672520624,0.183703869,20.95538773,0.76,12.91
W39,15.06.2018,Adventelva,116.7,2.36,0.521,7.674184056,0.030348267,33.07256189,0.18,6.876
W40,15.06.2018,Degeerelva,949,21.85,11.545,6.634681592,0.022922627,33.60518493,1.16,62.694
W41,15.06.2018,Ebbaelva,140.7,1.57,11.996,6.898126928,0.021954065,10.68574974,0.71,4.688
W42,15.06.2018,Gipsdalselva,215.7,0.97,8.105,9.660376264,0.026151166,17.55991585,0.26,2.688
W43,15.06.2018,Sassenelva,244,4.06,16.979,6.52187844,0.098793293,20.65578727,0.66,11.54
W44,17.06.2018,Adventelva,136.17,3.07,0.45,5.553056432,0.02647402,32.36850081,0.08,8.53
W45,17.06.2018,Degeerelva,984.58,21.8,10.36,6.77175884,0.018079818,24.03627913,1.13,68.74
W46,17.06.2018,Ebbaelva,38.8,2.23,11.1,6.88242016,0.022922627,10.852028,0.63,5.12
W47,17.06.2018,Gipsdalselva,193.88,1.89,7.16,19.51637318,0.040356738,19.10086088,0.23,1.57
W48,17.06.2018,Sassenelva,245.57,5.1,16.28,6.929540464,0.125590167,23.64047363,0.28,6.39
W49,2.08.2018,Adventelva,196.49,3.37,0.38,7.663474896,0.573388526,26.34653156,0.1,11.29
W50,2.08.2018,Degeerelva,222.35,45.52,0.49,17.0275644,1.060897915,67.95737367,0.41,269.31
W51,2.08.2018,Ebbaelva,45.17,0.74,0.46,5.176807944,0.106218933,11.66644191,0.49,1.75
W52,2.08.2018,Gipsdalselva,45.91,0.09,0.35,8.326728872,0.098147586,30.55858114,0.12,1.01
W53,2.08.2018,Sassenelva,152.87,3.34,0.76,18.93950643,1.491907872,48.13197901,0.79,7.02
